V_SITE_ID,V_TIME,D_PVI_CAPA,D_PERIOD_GEN_KWH,D_TOT_GEN_KWH,D_TEMP,D_HUMIDITY,D_PRESSURE,D_DEW,D_UVI,D_CLOUDS,D_VISIBILITY,D_WIND_SPEED,D_WIND_DEG,V_GPS_Y,V_GPS_X,__SRC__,TIME
KR10025001,2025092510,968.375,105.2,463708.13,23.38,94.0,1019.0,22.36,0.0,100.0,6302.0,2.75,183.0,36.0372673,126.6898854,MASTER,2025092510
KR10025001,2025092511,968.375,225.53000000000003,463933.66,23.32,93.0,1019.0,22.12,0.0,100.0,10000.0,3.57,182.0,36.0372673,126.6898854,MASTER,2025092511
KR10025001,2025092512,968.375,235.0,464168.66,23.37,92.0,1019.0,22.0,0.0,100.0,10000.0,3.6,182.0,36.0372673,126.6898854,MASTER,2025092512
KR10025001,2025092513,968.375,146.06999999999996,464314.7299999999,23.62,91.0,1019.0,22.06,0.0,100.0,10000.0,3.06,197.0,36.0372673,126.6898854,MASTER,2025092513
KR10025001,2025092514,968.375,183.46000000000004,464498.19,24.68,84.0,1018.0,21.79,0.0,100.0,10000.0,3.01,219.0,36.0372673,126.6898854,MASTER,2025092514
KR10025001,2025092515,968.375,292.42,464790.61,24.65,85.0,1018.0,21.96,0.0,100.0,10000.0,1.53,164.0,36.0372673,126.6898854,MASTER,2025092515
KR10025001,2025092516,968.375,200.5900000000001,464991.2,24.64,85.0,1018.0,21.95,0.0,100.0,10000.0,1.35,156.0,36.0372673,126.6898854,MASTER,2025092516
KR10025001,2025092517,968.375,99.93000000000004,465091.13,24.46,87.0,1018.0,22.15,0.0,100.0,10000.0,0.85,153.0,36.0372673,126.6898854,MASTER,2025092517
KR10025001,2025092518,968.375,4.590000000000002,465095.72,23.88,94.0,1018.0,22.85,0.0,100.0,10000.0,0.44,133.0,36.0372673,126.6898854,MASTER,2025092518
KR10025001,2025092519,968.375,0.0,465095.72,23.79,95.0,1018.0,22.94,0.0,100.0,10000.0,0.53,85.0,36.0372673,126.6898854,MASTER,2025092519
KR10025001,2025092520,968.375,0.0,465095.72,23.6,95.0,1018.0,22.75,0.0,100.0,10000.0,1.38,107.0,36.0372673,126.6898854,MASTER,2025092520
KR10025001,2025092521,968.375,0.0,465095.72,23.33,95.0,1019.0,22.48,0.0,100.0,10000.0,1.13,122.0,36.0372673,126.6898854,MASTER,2025092521
